Designator,Footprint,Quantity,Value,LCSC Part #
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
J1,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,Screw_Terminal_01x03,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Pinheader_01x03,
J3,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,qwiic,
J4,PinHeader_1x04_P2.54mm_Vertical,1,I2C1,
J5,PinHeader_1x04_P2.54mm_Vertical,1,I2C2,
J6,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,uart,
JP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,1,V_UART,
Q1,SOT-23_Handsoldering,1,2N7002,
Q2,SOT-23_Handsoldering,1,AO3400A,
R1,0805,1,1k,
"R10, R7, R8, R9",0805,4,4k7,
"R2, R3, R4, R5, R6",0805,5,10k,
TP1,TestPoint_Pad_D1.5mm,1,ETX,
TP2,TestPoint_Pad_D1.5mm,1,ERX,
TP3,TestPoint_Pad_D1.5mm,1,EOBS,
TP4,TestPoint_Pad_D1.5mm,1,3v3,
TP5,TestPoint_Pad_D1.5mm,1,GND,
U1,WEMOS_S2_mini,1,WeMos_S2_mini,
