Designator,Mid X,Mid Y,Rotation,Layer
J1,42.469,-18.716,90.0,top
J2,43.688,-3.556,270.0,top
J3,4.548,-25.201,180.0,top
J4,2.516,-10.469,0.0,top
J5,6.58,-10.469,0.0,top
J6,17.145,-4.191,0.0,bottom
Q1,39.072,-24.892,270.0,top
Q2,43.622,-24.892,90.0,top
R1,27.956,-10.16,180.0,top
R10,17.78,-26.318,0.0,top
R2,27.956,-13.716,180.0,top
R3,27.94,-17.272,0.0,top
R4,27.956,-20.32,0.0,top
R5,27.956,-23.368,0.0,top
R6,27.956,-26.318,180.0,top
R7,17.764,-17.272,0.0,top
R8,17.796,-20.32,180.0,top
R9,17.78,-23.368,0.0,top
U1,34.3305,-26.722,180.0,top
